ENTREZID	SYMBOL	m1_Pb_DMSO.rpkm	m3_Pb_DMSO.rpkm	m2_Pb_DMSO.rpkm	m1_naive.rpkm	m2_naive.rpkm	m3_naive.rpkm
15001	H2-Oa	1.3	1.0	2.0	139.7	139.7	129.0
15002	H2-Ob	15.1	16.7	17.0	259.6	259.6	264.1
15129	Hbb-b1	1.5	0.9	1.0	28.9	28.9	134.2
15162	Hck	1.8	1.4	2.5	81.7	81.7	75.0
15170	Ptpn6	49.5	48.2	45.5	362.4	362.4	342.3
15201	Hells	51.0	48.8	43.5	6.8	6.8	6.7
15205	Hes1	5.3	5.4	5.1	26.1	26.1	22.9
15216	Hfe	0.0	0.0	0.0	5.3	5.3	8.6
15235	Mst1	0.5	0.8	0.6	2.8	2.8	3.2
15242	Hhex	4.1	3.1	3.5	94.2	94.2	91.1
15273	Hivep2	1.3	1.3	1.6	19.6	19.6	18.9
15277	Hk2	30.9	28.6	30.9	3.5	3.5	3.5
15284	Hlx	0.7	0.6	0.6	3.1	3.1	2.6
15354	Hmgb3	28.3	28.1	28.4	7.0	7.0	6.1
15357	Hmgcr	77.0	77.2	79.9	19.1	19.1	18.3
15366	Hmmr	34.8	33.4	32.4	1.2	1.2	1.4
15370	Nr4a1	1.2	1.5	1.4	259.7	259.7	186.8
15439	Hp	0.0	0.1	0.1	3.8	3.8	3.5
15446	Hpgd	0.0	0.0	0.0	5.4	5.4	9.1
15450	Lipc	0.3	0.4	0.4	1.8	1.8	2.0
15468	Prmt2	0.5	0.9	0.8	4.9	4.9	4.3
15476	Hs3st1	2.4	2.3	2.7	15.1	15.1	10.7
15507	Hspb1	1.4	1.7	2.6	0.1	0.1	0.1
15530	Hspg2	0.0	0.1	0.1	0.4	0.4	0.4
15893	Ica1	9.2	8.2	8.6	0.0	0.0	0.1
15902	Id2	5.0	4.8	4.6	28.3	28.3	31.1
15903	Id3	2.7	3.7	2.0	32.0	32.0	35.4
15930	Ido1	1.3	1.0	1.4	0.1	0.1	0.2
15936	Ier2	18.1	23.5	19.6	99.3	99.3	86.1
15939	Ier5	23.1	23.0	27.5	136.5	136.5	128.4
15950	Ifi203	7.8	7.5	11.4	82.4	82.4	96.1
15958	Ifit2	0.5	0.5	0.6	7.5	7.5	9.9
15959	Ifit3	0.1	0.1	0.2	10.0	10.0	12.4
15979	Ifngr1	9.4	8.2	8.6	69.4	69.4	69.2
16000	Igf1	0.0	0.0	0.0	0.5	0.5	0.8
16004	Igf2r	26.4	24.7	26.2	4.7	4.7	5.0
16069	Jchain	1671.1	1697.2	1636.4	46.0	46.0	45.9
16145	Igtp	85.7	81.8	127.4	12.2	12.2	11.9
16153	Il10	59.1	78.6	100.5	1.0	1.0	0.5
16154	Il10ra	9.3	9.3	9.5	75.5	75.5	86.3
16159	Il12a	4.3	5.4	4.8	22.8	22.8	23.5
16162	Il12rb2	0.3	0.5	0.5	2.4	2.4	2.1
16176	Il1b	0.1	0.0	0.1	11.0	11.0	10.8
16184	Il2ra	31.5	32.8	38.0	1.6	1.6	1.4
16190	Il4ra	6.3	6.2	7.5	77.9	77.9	78.3
16193	Il6	0.5	0.6	0.2	0.0	0.0	0.1
16194	Il6ra	3.4	3.0	2.8	13.2	13.2	15.1
16197	Il7r	0.0	0.1	0.1	2.4	2.4	3.2
16199	Il9r	0.2	0.3	0.3	19.4	19.4	19.6
16319	Incenp	76.9	75.3	73.9	11.6	11.6	11.2
16403	Itga6	1.1	1.3	0.9	5.0	5.0	4.8
16409	Itgam	0.3	0.2	0.2	3.7	3.7	4.4
16411	Itgax	0.0	0.0	0.0	21.3	21.3	24.4
16419	Itgb5	6.6	7.0	8.3	1.1	1.1	2.0
16421	Itgb7	2.1	2.6	3.7	88.4	88.4	86.5
16430	Stt3a	322.7	316.3	322.3	49.7	49.7	49.0
16438	Itpr1	5.7	5.8	4.7	22.5	22.5	26.3
16449	Jag1	0.0	0.1	0.1	0.9	0.9	0.6
16451	Jak1	33.2	31.0	30.2	151.1	151.1	153.8
16477	Junb	26.6	24.0	29.1	219.2	219.2	180.4
16480	Jup	0.2	0.2	0.2	1.4	1.4	2.0
16499	Kcnab3	2.2	2.4	3.2	0.3	0.3	0.2
16500	Kcnb1	0.3	0.4	0.5	2.5	2.5	2.1
16513	Kcnj10	0.2	0.1	0.2	1.0	1.0	1.4
16517	Kcnj16	0.0	0.0	0.0	0.9	0.9	1.5
16534	Kcnn4	44.0	43.2	52.8	3.9	3.9	5.1
16541	Napsa	38.7	38.8	35.9	187.1	187.1	177.5
16551	Kif11	72.7	71.6	67.8	3.0	3.0	3.8
16571	Kif4	23.5	23.3	20.9	0.9	0.9	1.0
16574	Kif5c	1.1	1.1	0.7	0.1	0.1	0.1
16578	Kif9	0.2	0.1	0.2	2.2	2.2	2.4
16580	Kifc5b	12.3	15.3	12.8	1.5	1.5	1.2
16590	Kit	1.0	0.8	0.7	3.3	3.3	3.2
16598	Klf2	4.4	3.1	2.5	273.3	273.3	275.2
16599	Klf3	3.9	2.9	4.0	29.6	29.6	26.5
16600	Klf4	0.9	0.7	1.0	41.7	41.7	38.6
16633	Klra2	0.0	0.0	0.0	2.6	2.6	3.6
16641	Klrc1	0.0	0.0	0.0	1.7	1.7	2.4
16643	Klrd1	0.2	0.1	0.1	11.6	11.6	14.7
16647	Kpna2	194.4	195.6	182.7	25.9	25.9	24.1
16658	Mafb	0.0	0.0	0.0	1.9	1.9	3.6
16728	L1cam	0.9	0.8	0.9	4.5	4.5	4.1
16763	Lad1	0.1	0.0	0.0	1.4	1.4	1.2
16764	Aff3	3.6	2.3	3.8	44.4	44.4	44.2
16765	Stmn1	166.6	170.5	163.4	31.0	31.0	30.2
16768	Lag3	6.2	8.1	10.7	1.9	1.9	2.5
16779	Lamb2	0.5	0.5	0.5	0.1	0.1	0.1
16780	Lamb3	1.0	1.1	1.3	6.2	6.2	6.5
16790	Anpep	0.0	0.0	0.0	9.1	9.1	8.1
16797	Lat	0.5	0.4	0.7	3.8	3.8	3.8
16816	Lcat	2.9	2.5	2.9	0.3	0.3	0.1
16818	Lck	1.3	1.2	1.7	17.5	17.5	17.7
16822	Lcp2	0.2	0.1	0.1	7.7	7.7	8.7
16828	Ldha	483.4	461.3	423.7	106.6	106.6	102.1
16835	Ldlr	30.5	31.9	36.2	7.0	7.0	7.4
16848	Lfng	1.7	2.0	1.9	29.2	29.2	25.2
16852	Lgals1	124.3	126.9	130.5	23.7	23.7	29.4
16854	Lgals3	0.5	0.3	0.6	13.4	13.4	12.9
16880	Lifr	0.0	0.1	0.0	1.9	1.9	1.8
16881	Lig1	61.3	63.8	57.0	11.3	11.3	11.2
16891	Lipg	2.2	2.3	3.3	0.1	0.1	0.0
16905	Lmna	2.1	2.4	2.2	0.5	0.5	0.7
16918	Mycl	0.4	0.3	0.4	3.2	3.2	2.8
16923	Sh2b3	9.0	9.2	8.8	71.3	71.3	67.8
16952	Anxa1	0.1	0.2	0.1	4.9	4.9	5.4
16956	Lpl	0.0	0.0	0.0	0.6	0.6	0.6
16970	Lrmp	11.8	12.6	11.3	92.2	92.2	101.9
16971	Lrp1	0.1	0.1	0.1	1.5	1.5	2.5
16975	Lrp8	4.5	4.8	4.7	0.4	0.4	0.8
16981	Lrrn3	2.8	2.6	1.7	0.3	0.3	0.3
16985	Lsp1	27.4	22.5	29.1	165.2	165.2	157.2
16987	Lss	29.9	29.6	29.6	3.9	3.9	4.0
16988	Lst1	0.4	0.2	0.9	12.3	12.3	13.0
16992	Lta	1.8	1.7	1.3	37.0	37.0	35.4
16994	Ltb	8.6	7.0	9.0	164.4	164.4	138.9
16998	Ltbp3	0.2	0.4	0.4	0.0	0.0	0.1
17000	Ltbr	0.2	0.2	0.2	2.0	2.0	2.2
170439	Elovl6	15.7	14.2	17.0	1.3	1.3	1.2
17059	Klrb1c	0.0	0.0	0.0	1.5	1.5	1.8
17064	Cd93	39.1	33.1	32.6	7.1	7.1	8.2
17067	Ly6c1	16.4	19.1	34.7	1.6	1.6	3.0
170716	Cyp4f13	2.1	2.7	3.7	13.1	13.1	14.6
170721	Papln	9.3	10.1	9.9	0.1	0.1	0.1
170748	Smco4	8.9	10.2	9.8	1.9	1.9	2.1
17075	Epcam	21.5	22.2	22.6	2.9	2.9	2.3
170765	Ripply3	2.9	3.5	4.1	0.3	0.3	0.4
170770	Bbc3	7.9	8.5	9.1	2.3	2.3	1.6
170786	Cd209a	0.0	0.0	0.0	10.8	10.8	12.9
17079	Cd180	14.3	13.1	13.3	133.5	133.5	124.9
170813	Ms4a3	1.1	1.5	1.6	0.0	0.0	0.1
170829	Tram2	93.1	81.4	93.6	6.2	6.2	6.8
170834	Oosp1	40.5	40.7	57.7	1.0	1.0	1.2
17084	Ly86	24.6	22.5	19.9	225.0	225.0	213.9
17086	Ncr1	0.0	0.0	0.0	3.1	3.1	3.5
17095	Lyl1	23.3	25.4	22.5	105.4	105.4	97.7
17096	Lyn	26.5	26.3	26.2	148.4	148.4	146.6
17101	Lyst	2.5	2.2	2.3	13.5	13.5	16.2
17105	Lyz2	0.4	0.2	0.4	152.1	152.1	180.0
17110	Lyz1	0.0	0.1	0.2	26.4	26.4	32.2
17118	Marcks	4.1	3.6	4.5	23.6	23.6	24.2
171207	Arhgap4	25.0	27.1	31.5	152.4	152.4	156.4
17121	Mxd3	11.4	13.1	11.8	1.1	1.1	1.5
171210	Acot2	1.4	1.3	1.4	11.6	11.6	10.8
171211	Edaradd	0.4	0.5	0.5	8.5	8.5	11.4
171212	Galnt10	1.7	1.5	1.4	14.3	14.3	12.7
17125	Smad1	0.3	0.4	0.7	3.0	3.0	2.7
171283	Havcr1	0.2	0.1	0.2	1.6	1.6	2.5
171284	Timd2	3.4	2.9	2.5	0.3	0.3	0.2
171285	Havcr2	0.1	0.0	0.1	7.3	7.3	8.1
17131	Smad7	1.5	1.5	1.5	10.5	10.5	9.6
17132	Maf	0.3	0.2	0.2	2.2	2.2	1.9
17135	Mafk	5.0	5.2	4.6	37.9	37.9	31.1
171504	Apobr	0.4	0.7	0.5	5.6	5.6	5.4
17179	Matk	0.9	1.0	1.0	6.7	6.7	7.1
17196	Mbp	1.4	1.3	1.0	12.5	12.5	12.3
17219	Mcm6	101.1	101.0	99.7	16.0	16.0	16.6
17259	Mef2b	33.5	33.7	25.5	2.4	2.4	1.7
17279	Melk	6.4	5.9	5.9	0.5	0.5	0.5
17289	Mertk	0.0	0.0	0.0	1.2	1.2	3.1
17319	Mif	311.2	305.9	300.4	74.7	74.7	71.8
17329	Cxcl9	0.0	0.1	0.4	3.2	3.2	2.2
17341	Bhlha15	98.1	94.4	103.9	1.5	1.5	1.3
17345	Mki67	296.1	273.6	275.0	6.5	6.5	10.1
17381	Mmp12	0.0	0.0	0.0	1.1	1.1	1.4
17395	Mmp9	0.1	0.1	0.0	1.8	1.8	1.3
17436	Me1	0.9	0.6	0.6	0.0	0.0	0.0
17444	Grap2	5.1	4.9	6.9	56.5	56.5	59.0
17470	Cd200	1.5	1.6	2.9	34.0	34.0	31.5
17472	Gbp4	86.3	90.6	122.2	23.0	23.0	26.9
17476	Mpeg1	4.9	3.9	6.9	52.6	52.6	65.2
17540	Mrvi1	0.0	0.0	0.0	0.6	0.6	0.6
17748	Mt1	12.9	15.7	19.6	0.5	0.5	0.5
17750	Mt2	8.4	10.5	17.0	0.1	0.1	0.0
17754	Map1a	0.7	0.5	1.1	0.0	0.0	0.0
17761	Map7	0.7	0.6	0.6	6.3	6.3	6.2
17768	Mthfd2	63.3	59.1	49.4	9.3	9.3	10.0
17769	Mthfr	6.8	7.2	7.2	1.7	1.7	2.0
17772	Mtm1	0.3	0.4	0.4	2.0	2.0	2.1
17777	Mttp	1.9	1.9	1.8	0.5	0.5	0.3
17857	Mx1	1.1	1.4	2.2	6.0	6.0	8.3
17858	Mx2	0.5	0.4	1.1	4.4	4.4	5.1
17864	Mybl1	7.2	7.7	7.0	1.6	1.6	1.4
17865	Mybl2	30.7	34.0	27.3	2.4	2.4	1.7
17872	Ppp1r15a	11.5	11.1	11.0	80.9	80.9	72.0
17873	Gadd45b	106.5	102.8	124.6	22.3	22.3	21.5
17916	Myo1f	0.3	0.2	0.3	11.8	11.8	13.8
17929	Myom1	0.9	0.7	0.9	0.2	0.2	0.2
17951	Naip5	0.5	0.6	0.8	2.7	2.7	3.5
17952	Naip6	0.2	0.2	0.3	0.9	0.9	1.0
17957	Napb	0.7	0.7	0.8	0.1	0.1	0.1
17969	Ncf1	20.1	18.4	18.5	78.1	78.1	79.3
17999	Nedd4	5.2	4.8	5.5	21.5	21.5	22.5
18003	Nedd9	27.6	25.4	27.7	114.2	114.2	106.5
18005	Nek2	30.6	32.2	31.5	1.2	1.2	1.3
18027	Nfia	0.1	0.1	0.1	0.6	0.6	0.4
18030	Nfil3	14.4	14.5	13.5	2.3	2.3	2.0
18053	Ngfr	0.0	0.0	0.0	4.5	4.5	2.9
18073	Nid1	0.7	0.7	0.9	3.0	3.0	3.7
18074	Nid2	3.4	3.3	4.8	0.2	0.2	0.2
18104	Nqo1	1.8	2.1	1.1	0.1	0.1	0.4
18106	Cd244	0.2	0.1	0.2	4.9	4.9	5.6
18128	Notch1	18.4	17.8	18.1	4.0	4.0	4.1
18129	Notch2	6.8	6.5	7.2	64.6	64.6	71.1
18132	Notch4	0.1	0.0	0.1	0.6	0.6	0.6
18140	Uhrf1	62.6	65.6	60.0	7.0	7.0	7.7
18163	Ctnnd2	0.0	0.0	0.0	0.9	0.9	0.8
18173	Slc11a1	1.2	1.0	1.5	4.5	4.5	6.5
18190	Nrxn2	0.0	0.0	0.0	0.2	0.2	0.2
18194	Nsdhl	35.2	30.9	38.1	8.4	8.4	9.0
18220	Nucb1	99.8	94.2	117.8	23.1	23.1	21.3
18227	Nr4a2	0.4	0.5	0.4	3.7	3.7	2.9
18356	Olfr56	2.1	1.8	2.6	0.2	0.2	0.3
18378	Omp	3.2	2.9	3.9	0.4	0.4	0.4
18392	Orc1	14.2	14.3	11.7	1.4	1.4	1.2
18439	P2rx7	0.1	0.1	0.2	1.2	1.2	1.5
18451	P4ha1	26.7	24.9	30.8	5.0	5.0	5.2
18452	P4ha2	1.7	1.8	2.9	0.1	0.1	0.0
18453	P4hb	532.3	526.1	569.6	97.0	97.0	93.5
18479	Pak1	0.3	0.3	0.3	4.4	4.4	4.6
18507	Pax5	31.5	30.5	25.2	336.9	336.9	305.9
18557	Cdk18	3.0	2.6	3.8	0.0	0.0	0.0
18563	Pcx	2.9	2.8	2.8	0.7	0.7	0.7
18566	Pdcd1	5.9	5.1	6.7	0.1	0.1	0.1
18569	Pdcd4	15.4	14.8	18.3	75.5	75.5	73.1
18591	Pdgfb	0.0	0.0	0.0	0.9	0.9	0.9
18600	Padi2	0.8	0.7	0.9	4.9	4.9	5.6
18613	Pecam1	10.5	9.2	10.7	111.9	111.9	110.3
18646	Prf1	0.5	0.2	0.4	2.3	2.3	1.9
18655	Pgk1	534.8	508.7	538.0	69.7	69.7	68.4
18669	Abcb1b	23.7	25.2	20.7	1.2	1.2	1.6
18670	Abcb4	0.4	0.3	0.3	1.6	1.6	2.2
18703	Pigr	0.4	0.3	0.4	4.9	4.9	2.2
18712	Pim1	426.1	478.8	430.0	85.7	85.7	67.7
18715	Pim2	261.1	253.8	271.1	26.0	26.0	21.3
18718	Pip4k2a	8.6	8.8	8.1	70.5	70.5	63.7
18725	Pira2	0.0	0.0	0.1	7.6	7.6	8.5
18726	Lilra6	0.0	0.0	0.0	4.8	4.8	5.6
18733	Pirb	0.5	0.3	0.5	40.3	40.3	49.5
18746	Pkm	533.5	508.3	514.2	105.2	105.2	94.0
18751	Prkcb	27.7	24.2	23.2	121.7	121.7	124.3
18755	Prkch	0.1	0.1	0.1	2.8	2.8	2.5
18779	Pla2r1	0.3	0.4	0.6	0.0	0.0	0.0
18793	Plaur	0.4	0.3	0.5	81.9	81.9	64.5
18796	Plcb2	1.5	1.8	1.8	32.3	32.3	34.7
18799	Plcd1	0.8	1.0	1.1	0.0	0.0	0.1
18817	Plk1	54.9	54.0	47.3	2.7	2.7	2.1
18826	Lcp1	66.0	55.8	54.5	406.1	406.1	395.3
18830	Pltp	0.7	0.9	1.4	8.0	8.0	12.1
18844	Plxna1	13.4	14.0	15.5	0.8	0.8	1.2
18951	5-Sep	5.4	5.0	8.3	0.0	0.0	0.0
18973	Pole	15.7	16.2	15.8	2.1	2.1	2.3
18974	Pole2	27.6	30.0	25.6	3.2	3.2	3.2
19011	Endou	77.7	70.9	69.9	4.4	4.4	4.0
19012	Ppap2a	10.4	10.4	6.9	1.6	1.6	1.7
19017	Ppargc1a	0.0	0.0	0.0	0.8	0.8	0.8
19035	Ppib	459.3	463.0	480.3	97.8	97.8	99.0
19074	Prg2	3.9	3.6	5.3	1.0	1.0	1.0
19075	Prim1	62.4	67.6	55.9	11.8	11.8	12.3
19089	Prkcsh	138.4	140.2	144.0	31.3	31.3	30.9
19094	Mapk11	3.9	4.7	4.0	55.0	55.0	54.6
19116	Prlr	0.9	0.8	1.0	0.1	0.1	0.0
19142	Prss12	0.0	0.0	0.0	1.6	1.6	2.0
19183	Psmc3ip	16.0	16.6	13.8	2.8	2.8	3.0
19193	Pipox	6.1	8.0	6.8	0.7	0.7	0.3
19200	Pstpip1	7.1	7.4	7.5	42.4	42.4	42.3
19204	Ptafr	0.0	0.0	0.0	3.2	3.2	3.0
19212	Pter	0.4	0.5	0.3	0.1	0.1	0.1
192120	Bspry	3.0	3.6	4.0	0.8	0.8	1.0
192176	Flna	29.7	29.0	24.6	141.8	141.8	152.3
192188	Stab2	0.0	0.1	0.0	0.4	0.4	0.6
192193	Edem1	341.1	347.7	367.7	33.6	33.6	35.4
19222	Ptgir	2.0	1.9	0.9	0.2	0.2	0.3
19225	Ptgs2	0.0	0.1	0.0	5.8	5.8	4.9
19250	Ptpn14	0.0	0.1	0.1	2.7	2.7	2.3
19252	Dusp1	16.8	19.7	19.1	107.3	107.3	100.3
19259	Ptpn5	0.9	1.2	1.2	0.0	0.0	0.0
192657	Ell2	132.6	121.1	141.0	10.8	10.8	10.3
192678	Rassf3	10.5	10.4	11.2	53.1	53.1	49.4
19271	Ptprj	5.8	5.6	7.2	65.8	65.8	66.4
19277	Ptpro	0.0	0.0	0.0	1.4	1.4	1.3
19294	Pvrl2	0.4	0.6	0.8	0.1	0.1	0.1
192950	Nacad	0.2	0.2	0.1	2.2	2.2	2.3
192976	Lrrc75a	0.5	0.5	0.6	5.4	5.4	4.3
19348	Kif20a	23.6	22.5	20.0	1.7	1.7	2.2
19361	Rad51	26.1	26.3	24.9	1.3	1.3	1.4
19362	Rad51ap1	17.7	19.7	18.0	0.9	0.9	1.0
19363	Rad51b	2.6	2.8	2.9	0.3	0.3	0.4
19366	Rad54l	10.0	11.0	9.5	1.0	1.0	0.8
19395	Rasgrp2	4.1	4.8	3.9	112.7	112.7	108.5
19401	Rara	5.9	5.8	6.5	25.3	25.3	24.9
19416	Rasd1	1.2	1.3	1.2	7.1	7.1	5.5
194237	Rimkla	1.4	1.5	1.0	0.0	0.0	0.0
194388	Tet3	3.9	3.6	3.4	21.1	21.1	20.7
194655	Klf11	1.9	1.3	2.3	7.7	7.7	7.9
195564	Skint3	0.0	0.0	0.0	1.7	1.7	1.7
195733	Grhl1	2.3	2.2	2.3	0.4	0.4	0.2
19672	Rcn1	11.7	11.6	13.8	2.8	2.8	2.8
19696	Rel	14.2	14.1	16.8	61.3	61.3	67.3
19699	Reln	1.8	1.7	1.3	0.2	0.2	0.3
19731	Rgl1	0.5	0.8	0.8	9.8	9.8	10.5
19735	Rgs2	1.0	1.3	0.9	111.6	111.6	113.4
19783	Rprl1	425.8	408.3	506.7	45.9	45.9	43.6
20014	Rpn2	385.4	383.1	392.4	62.7	62.7	57.4
20112	Rps6ka2	4.3	4.3	4.8	1.0	1.0	1.0
20135	Rrm2	192.2	199.6	173.7	5.5	5.5	8.1
20181	Rxra	0.5	0.3	0.3	1.4	1.4	2.0
20187	Ryk	1.0	1.1	1.9	0.2	0.2	0.3
20191	Ryr2	0.0	0.0	0.0	0.5	0.5	0.4
20192	Ryr3	0.0	0.0	0.0	0.7	0.7	0.6
20198	S100a4	0.0	0.0	0.2	46.8	46.8	54.2
20200	S100a6	1.0	1.0	1.2	15.8	15.8	21.7
20201	S100a8	0.0	0.0	0.0	11.2	11.2	13.4
20202	S100a9	0.0	0.0	0.0	10.1	10.1	9.7
20230	Satb1	5.6	5.5	6.9	26.6	26.6	24.7
20238	Atxn1	5.2	4.4	5.7	1.1	1.1	1.1
20250	Scd2	282.5	264.7	288.5	43.6	43.6	39.0
20269	Scn3a	0.0	0.0	0.0	0.3	0.3	0.2
20304	Ccl5	2.6	2.8	6.3	41.8	41.8	40.6
20305	Ccl6	0.0	0.0	0.0	11.2	11.2	12.1
20308	Ccl9	0.3	0.3	0.2	4.2	4.2	4.4
20317	Serpinf1	4.4	4.2	2.6	1.0	1.0	0.5
20335	Sec61g	129.7	142.6	118.1	24.9	24.9	29.7
20338	Sel1l	132.5	123.4	165.6	16.6	16.6	16.5
20339	Sele	0.0	0.0	0.0	1.2	1.2	1.2
20343	Sell	9.3	6.9	15.7	393.3	393.3	401.7
20350	Sema3f	1.0	1.2	1.3	0.1	0.1	0.1
20351	Sema4a	0.6	0.6	0.6	2.9	2.9	2.8
20356	Sema5a	0.0	0.0	0.0	0.9	0.9	0.9
20365	Serf1	11.5	11.2	11.4	0.7	0.7	0.5
20393	Sgk1	1.0	1.3	1.0	11.2	11.2	9.9
20419	Shcbp1	42.5	45.2	36.8	1.2	1.2	1.2
20425	Shmt1	20.6	23.3	20.2	5.2	5.2	5.6
20447	St6galnac3	0.4	0.2	0.4	1.6	1.6	1.4
20449	St8sia1	0.0	0.0	0.0	1.1	1.1	1.0
20460	Stil	21.1	20.9	19.7	0.7	0.7	0.7
20469	Sipa1	20.0	21.8	21.1	139.2	139.2	124.8
20475	Six5	1.7	2.0	1.9	0.1	0.1	0.1
20501	Slc16a1	22.1	21.2	18.8	5.1	5.1	5.2
20503	Slc16a7	0.6	1.1	0.7	4.1	4.1	4.9
20510	Slc1a1	2.0	1.7	2.0	0.0	0.0	0.0
20529	Slc31a1	21.3	20.4	20.7	4.5	4.5	4.2
20532	Slc3a1	2.0	2.4	2.2	0.4	0.4	0.4
20539	Slc7a5	142.3	147.9	139.7	10.2	10.2	9.3
20541	Slc8a1	0.0	0.0	0.0	0.7	0.7	0.8
20555	Slfn1	0.1	0.0	0.1	3.9	3.9	5.0
20557	Slfn3	20.6	20.1	17.7	3.7	3.7	4.7
20558	Slfn4	5.6	6.3	5.8	1.1	1.1	1.6
20562	Slit1	1.1	1.3	1.1	0.2	0.2	0.2
20568	Slpi	113.8	120.1	65.6	2.9	2.9	4.5
20620	Plk2	1.2	1.8	1.8	35.3	35.3	23.3
20660	Sorl1	0.9	0.9	0.8	91.5	91.5	91.0
20661	Sort1	0.1	0.1	0.1	2.1	2.1	2.8
20677	Sox4	0.6	0.5	0.6	6.7	6.7	5.8
20708	Serpinb6b	0.8	0.8	1.0	6.0	6.0	6.9
207182	Ggt7	1.5	1.0	1.5	0.2	0.2	0.3
20720	Serpine2	3.2	5.1	4.6	0.8	0.8	0.4
207278	Fchsd2	16.9	17.0	17.0	74.3	74.3	75.7
20728	Spic	0.0	0.0	0.0	6.0	6.0	12.7
20732	Spint1	0.4	0.5	0.6	2.4	2.4	3.2
20737	Spn	87.4	82.9	101.7	9.2	9.2	8.9
20743	Sptbn2	0.6	0.7	0.6	0.1	0.1	0.1
20750	Spp1	3.8	3.6	4.6	0.5	0.5	0.2
207521	Dtx4	0.4	0.4	0.4	1.6	1.6	1.6
207592	Tbc1d16	2.9	2.8	3.2	0.8	0.8	0.7
207728	Pde2a	1.2	1.4	1.2	33.6	33.6	36.2
207742	Rnf43	0.1	0.2	0.1	0.7	0.7	0.9
20775	Sqle	72.7	69.3	75.1	8.8	8.8	9.9
207806	Gm608	5.6	5.0	5.3	21.2	21.2	22.7
207819	4930539E08Rik	1.9	2.1	2.4	0.4	0.4	0.3
208084	Pif1	13.5	13.9	11.8	0.3	0.3	0.3
20810	Srm	135.6	141.2	120.7	19.5	19.5	17.3
208154	Btla	14.0	13.6	16.2	236.5	236.5	257.2
20818	Srprb	101.6	104.6	103.5	14.8	14.8	12.9
208198	Btbd2	1.6	1.7	2.0	12.3	12.3	12.1
20832	Ssr4	334.6	353.5	363.1	59.6	59.6	64.3
208449	Sgms1	4.0	4.4	4.3	22.9	22.9	23.0
20852	Stat6	17.5	16.5	17.3	98.9	98.9	92.7
208618	Etl4	0.3	0.3	0.3	0.1	0.1	0.0
208628	Kntc1	14.7	15.3	14.7	0.7	0.7	0.8
208647	Creb3l2	55.1	52.5	60.2	2.6	2.6	2.6
208650	Cblb	3.2	2.9	3.3	19.1	19.1	18.1
20868	Stk10	13.4	12.7	12.3	86.0	86.0	78.0
208715	Hmgcs1	37.4	33.5	42.4	9.0	9.0	8.5
20873	Plk4	18.2	17.8	16.5	2.8	2.8	3.0
20877	Aurkb	89.6	92.3	82.0	5.6	5.6	5.9
20878	Aurka	51.0	51.4	43.6	3.8	3.8	3.2
208836	Fanci	10.3	11.0	10.0	2.1	2.1	2.5
208922	Cpeb3	33.2	29.2	38.8	0.2	0.2	0.1
20893	Bhlhe40	9.2	7.9	9.4	49.3	49.3	35.1
208967	Thnsl1	0.3	0.3	0.3	1.6	1.6	1.6
209027	Pycr1	26.6	26.5	30.6	0.6	0.6	0.3
209086	Samd9l	10.1	9.5	10.3	135.3	135.3	156.7
20932	Surf4	242.5	243.3	245.6	59.3	59.3	50.5
209334	Gen1	12.3	12.8	11.0	1.9	1.9	1.9
209630	Frmd4a	0.1	0.0	0.1	0.4	0.4	0.6
209683	Ttc28	0.3	0.2	0.3	3.4	3.4	3.0
20969	Sdc1	28.8	29.8	30.4	5.2	5.2	5.1
209737	Kif15	14.0	13.5	12.6	0.9	0.9	1.0
210104	Zfp658	12.3	12.7	12.3	1.3	1.3	1.3
210126	Lpp	0.6	0.6	0.8	3.6	3.6	4.4
210145	Irgc1	0.0	0.0	0.0	4.9	4.9	4.1
210544	Tbc1d31	13.0	12.4	12.1	1.8	1.8	1.7
210710	Gab3	0.7	0.6	0.6	4.4	4.4	4.2
210789	Tbc1d4	0.5	0.4	0.4	7.2	7.2	6.8
210982	Gltscr1l	6.6	5.7	6.7	32.6	32.6	29.6
211228	Lrrc25	0.8	1.1	1.0	11.2	11.2	11.2
211401	Mtss1	6.4	6.7	6.4	35.2	35.2	34.3
211484	Tsga10	0.4	0.4	0.3	1.4	1.4	1.7
211548	Nomo1	81.8	82.2	83.1	20.0	20.0	18.9
211612	Ptchd1	0.0	0.0	0.0	0.5	0.5	0.5
211651	Fancd2	8.4	9.2	8.1	0.6	0.6	0.7
211914	Asap2	0.4	0.5	0.5	2.2	2.2	1.9
212032	Hk3	0.1	0.0	0.0	1.4	1.4	1.7
212377	Mms22l	13.4	13.5	12.5	2.6	2.6	2.9
212398	Frat2	1.7	1.3	1.9	9.5	9.5	8.1
212427	A730008H23Rik	26.3	21.4	22.3	2.0	2.0	2.4
212706	N4bp3	2.0	2.2	1.7	11.6	11.6	12.0
212898	Dse	0.3	0.2	0.3	1.8	1.8	2.8
212937	Tifab	0.8	0.7	1.2	7.7	7.7	8.9
212986	Scfd2	10.0	10.0	10.5	1.9	1.9	1.7
213002	Ifitm6	0.0	0.0	0.0	12.4	12.4	18.5
213019	Pdlim2	4.7	4.2	5.3	20.6	20.6	17.8
213053	Slc39a14	7.7	9.1	6.5	1.1	1.1	1.1
213208	Il20rb	3.0	2.8	2.6	0.7	0.7	0.6
